Date,Close,Open,High,Low,Volume,Change,range,target,ror,buy_signal,hpr,dd,money
2021-06-06,41780000,41982000,41982000,41780000,580.0,-0.0048,101000.0,42563500.0,1.0,,2.9412674618357837,0.0,2941267.461835784
2021-06-07,38953000,41773000,41773000,38953000,2700.0,-0.0677,1410000.0,41874000.0,1.0,,2.9412674618357837,0.0,2941267.461835784
2021-06-08,38531000,38953000,38953000,38531000,1240.0,-0.0108,211000.0,40363000.0,1.0,,2.9412674618357837,0.0,2941267.461835784
2021-06-09,43259000,38531000,43259000,38531000,2660.0,0.12269999999999999,2364000.0,38742000.0,1.1133918125032263,37375070.0,3.274783110390107,0.0,3274783.110390107
2021-06-10,42761000,43232000,43232000,42477000,1570.0,-0.0115,377500.0,45596000.0,1.0,,3.274783110390107,0.0,3274783.110390107
2021-06-11,43574000,42785000,43574000,42785000,1090.0,0.019,394500.0,43162500.0,1.0063337387778741,41501450.0,3.295524731165512,0.0,3295524.731165512
2021-06-12,41361000,43596000,43596000,41361000,480.0,-0.0508,1117500.0,43990500.0,1.0,,3.295524731165512,0.0,3295524.731165512
2021-06-13,44800000,41384000,44800000,41111000,2009.9999999999998,0.08310000000000001,1844500.0,42501500.0,1.0508804442196158,39877670.0,3.4632024934239434,0.0,3463202.4934239434
2021-06-14,46563000,44791000,46563000,44791000,1290.0,0.0394,886000.0,46635500.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-15,46373000,46548000,46548000,46150000,1150.0,-0.0040999999999999995,199000.0,47434000.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-16,45234000,46375000,46375000,45151000,2050.0,-0.0246,612000.0,46574000.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-17,44769000,45234000,45800000,44769000,1070.0,-0.0103,515500.0,45846000.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-18,42523000,44769000,44769000,42523000,1710.0,-0.050199999999999995,1123000.0,45284500.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-19,42039000,42560000,42560000,41965000,590.0,-0.011399999999999999,297500.0,43683000.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-20,41856000,42039000,42039000,41856000,880.0,-0.0044,91500.0,42336500.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-21,37264000,41856000,41856000,37264000,2060.0,-0.1097,2296000.0,41947500.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-22,37826000,37260000,37826000,36670000,3470.0,0.0151,578000.0,39556000.0,1.0,,3.4632024934239434,0.0,3463202.4934239434
2021-06-23,39079000,37826000,39916000,37826000,1500.0,0.0331,1045000.0,38404000.0,1.0143762941360275,36691220.0,3.51299051112203,0.0,3512990.5111220297
2021-06-24,40177000,39079000,40177000,39079000,1420.0,0.0281,549000.0,40124000.0,0.998120905193899,37906630.0,3.5063892688986984,0.18790948061009907,3506389.2688986985
2021-06-25,37101000,40177000,40177000,37101000,1810.0,-0.0766,1538000.0,40726000.0,1.0,,3.5063892688986984,0.18790948061009907,3506389.2688986985
2021-06-26,37689000,37122000,37689000,36993000,930.0,0.0158,348000.0,38660000.0,1.0,,3.5063892688986984,0.18790948061009907,3506389.2688986985
